rank,family,filename,variants,nodes,edges,pages,sha256
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,26,29,01_Qwen2_Qwen2.5_Dense,31cb58ad1c7fec6dcffb2180b8ba21d1230eb08cf340dacc3da99963fc415f0f
2,Qwen3 Dense,02_qwen3_dense.mmd,1,28,31,02_Qwen3_Dense,e6af11642481e6762176ee970de8a63ff6e70bc012d5dc2bd1d203dd417b4e88
3,Llama / Yi / SmolLM Dense,03_llama_yi_smollm_dense.mmd,1,26,29,03_Llama_Yi_SmolLM_Dense,c2818f0d05dec6c97b2e36334b11e7ae59bf6a9449a31cbb7b745e34ba2f7870
4,Qwen3.5 / Qwen3.6 Hybrid MoE,04_qwen3_5_qwen3_6_hybrid_moe.mmd,2,105,130,06_Qwen3.5_MoE_GDN | 07_Qwen3.5_MoE_FullAttention,fd7f59253f80d92dada4bc70e9e00228b901b535c048d583223fedc329076b52
5,Qwen3 MoE,05_qwen3_moe.mmd,1,34,38,04_Qwen3_MoE,e08b7b26d7370f2ee64daad32183c6320cac4961a814de645c71fe95e92bb89d
6,GPT-2 Dense,06_gpt2_dense.mmd,1,17,20,08_GPT2_Dense,401d5e2d37c633c7f5ebf826ec6bda5b645d885d536bb81db2d9f4a0ebf645b8
7,OPT Dense,07_opt_dense.mmd,1,18,21,09_OPT_Dense,881c486880c78619c747e9b4fe27e2f1cc7acb13acc0ceeb4dffeed31f5e7c2a
8,Qwen3.5 / Qwen3.6 Hybrid Dense,08_qwen3_5_qwen3_6_hybrid_dense.mmd,2,73,90,05A_Qwen3.5_Dense_GDN | 05B_Qwen3.5_Dense_FullAttention,67a548ed3f80fb478602931eb77dec99c38ac014317293acde666ab22e7d41da
9,GPT-OSS MoE,09_gpt_oss_moe.mmd,2,64,72,10A_GPT_OSS_Sliding | 10B_GPT_OSS_Full,495e511a0d103ef4a200f6fc4181fb08b9dc344dc4bae2435f23d95c397dafec
10,Gemma 4 Dense,10_gemma4_dense.mmd,2,56,64,11A_Gemma4_Sliding | 11B_Gemma4_Full,2168f6a45eac6121956eefd8b7d7f0d336d723847f893ab7104c25cd60f587f4
11,GLM DSA MoE,11_glm_dsa_moe.mmd,1,46,55,12_GLM5.2_DSA_MoE,31e2c2b0ade9c817f18e2de1025d309a296aa55a0bedc568925365ce04283e8f
12,DeepSeek V4 Hybrid MoE,12_deepseek_v4_hybrid_moe.mmd,3,142,175,13A_DeepSeekV4_Slidingonly | 13B_DeepSeekV4_CSA | 13C_DeepSeekV4_HCA,97bcf6807e94e71e0b2f5907b779601be20b81c7ae44c6a6d28a015f970d7c1a
13,Gemma 3 Dense,13_gemma3_dense.mmd,2,58,66,14A_Gemma3_Sliding | 14B_Gemma3_Full,d65cf07864a9b5d296f56f7b3f0ac8bf647385c2ff84df14104bf69f398af480
14,DeepSeek V3 / R1 MLA MoE,14_deepseek_v3_r1_mla_moe.mmd,1,41,47,15_DeepSeekV3_R1_MLA_MoE,b13de6ce45a6bbf2b26002f879e0971ab4e1d9f20c9d49b02b22e3af8a064ade
15,GPT-NeoX / Pythia Dense,15_gpt_neox_pythia_dense.mmd,1,19,21,16_GPTNeoX_Pythia_Dense,6a2323754173f632f034cb4bc35bb4c5449a434e923af997bce7ea7c2278561b
16,Gemma 4 MoE,16_gemma4_moe.mmd,2,84,98,17A_Gemma4_MoE_Sliding | 17B_Gemma4_MoE_Full,f48a45a16f91c751678324da186a80580394bf8d28500b4dd5095492fb5c2e40
17,Kimi K3 Hybrid MoE,17_kimi_k3_hybrid_moe.mmd,1,41,47,18_KimiK3_Hybrid_MLA_MoE,d1a2dfa3b2b10a17f5b3be493612a2e33fcbae3563621d923c756d941390a551
18,Granite 4 Hybrid,18_granite4_hybrid.mmd,1,26,29,19_Granite4_Hybrid_Dense,fdf4d8b4adfcea3d0caaae88311a011e08ce385a123c9ede6f44ca9f907533e2
19,Qwen1 Dense,19_qwen1_dense.mmd,1,26,29,20_Qwen1_Dense,4dc18273036f135c87af26aa4527b54e481ce9fcbc571e540481ef6173b2d510
20,Phi-2 Dense,20_phi2_dense.mmd,1,19,21,21_Phi2_Dense,a13b6aca3c8e754929aec074840e96e9f7428714180744480b829f35b9030e82
21,BLOOM Dense,21_bloom_dense.mmd,1,17,20,22_BLOOM_Dense,572079c140442c708891cb0e7463b7ca06579550398ad81e90ce078b55a0923a
22,OpenELM Dense,22_openelm_dense.mmd,1,26,29,23_OpenELM_Dense,2f26d9f02901e003ee958cddd9dc0549ce3d44707895878fed37f770cd7e8e62
23,PowerMoE,23_powermoe.mmd,1,32,36,24_PowerMoE,0d5eccb380b0c7b58f3ad32a8ebcd0eca3975cde975dc394129b62c54b563f56
24,Nemotron 3 Hybrid MoE,24_nemotron3_hybrid_moe.mmd,1,41,48,25_Nemotron3_Hybrid_MoE,8b6eda365b86cb49459b14f5dae60339c079caa633b7f5f78262f0a21f847d7a
25,Mistral Dense,25_mistral_dense.mmd,1,26,29,26_Mistral_Dense,a41c18658b7b6c0f7a67e3e322155b10cde5a9fcb15a01902929b47ca9903985
