rank,repository,downloads_m,mapped_architecture_family
1,Qwen/Qwen3-0.6B,24.3,Qwen3 dense
2,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,15.7,Qwen2/2.5 dense
3,facebook/opt-125m,14.8,OPT dense
4,Qwen/Qwen3-8B,14.7,Qwen3 dense
5,openai-community/gpt2,14.2,GPT-2 dense
6,unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,12.7,Qwen3 MoE
7,nvidia/Qwen3.6-35B-A3B-NVFP4,12.4,Qwen3.5/3.6 hybrid MoE
8,Qwen/Qwen2.5-7B-Instruct,11.5,Qwen2/2.5 dense
9,Qwen/Qwen2.5-1.5B-Instruct,8.86,Qwen2/2.5 dense
10,Qwen/Qwen2.5-3B-Instruct,7.58,Qwen2/2.5 dense
11,meta-llama/Llama-3.2-1B-Instruct,7.52,Llama/Yi/SmolLM dense
12,farbodtavakkoli/OTel-2.0-LLM-31B-IT,7.15,Gemma4 dense
13,openai/gpt-oss-20b,7.04,GPT-OSS MoE
14,Qwen/Qwen2.5-0.5B-Instruct,6.83,Qwen2/2.5 dense
15,meta-llama/Llama-3.1-8B-Instruct,6.44,Llama/Yi/SmolLM dense
16,deepseek-ai/DeepSeek-R1,5.04,DeepSeek V3/R1 MLA MoE
17,openai/gpt-oss-120b,5.01,GPT-OSS MoE
18,ornith-ai/Ornith-1.0-9B-GGUF,4.95,Qwen3.5/3.6 hybrid dense
19,Qwen/Qwen3-4B,4.84,Qwen3 dense
20,dphn/dolphin-2.9.1-yi-1.5-34b,4.72,Llama/Yi/SmolLM dense
21,Qwen/Qwen3-1.7B,4.71,Qwen3 dense
22,google/gemma-3-1b-it,4.71,Gemma3 dense
23,Qwen/Qwen2.5-7B-Instruct-AWQ,4.21,Qwen2/2.5 dense
24,ornith-ai/Ornith-1.0-35B-GGUF,3.67,Qwen3.5/3.6 hybrid MoE
25,Qwen/Qwen3-32B,3.62,Qwen3 dense
26,EleutherAI/pythia-160m,3.53,GPT-NeoX/Pythia dense
27,Qwen/Qwen3-4B-Instruct-2507,3.41,Qwen3 dense
28,ornith-ai/Ornith-1.0-35B,3.32,Qwen3.5/3.6 hybrid MoE
29,deepseek-ai/DeepSeek-V4-Flash-0731,3.27,DeepSeek V4 hybrid MoE
30,RadixArk/Kimi-K3-DSpark,2.93,Kimi K3 hybrid MoE
31,Qwen/Qwen2.5-14B-Instruct,2.82,Qwen2/2.5 dense
32,Qwen/Qwen3-30B-A3B,2.59,Qwen3 MoE
33,zai-org/GLM-5.2,2.58,GLM DSA MoE
34,hmellor/tiny-random-LlamaForCausalLM,2.54,Llama/Yi/SmolLM dense
