family_rank,family,source_block_mmd,variant_index,variant,source_node_id,source_layer_name,class,execution_owner_v5,execution_owner_v6,macro_op_v5,sequence_filename_v5,sequence_filename_v6,status,status_v6
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n019,X,input,ActivationReadDmaCore,ActivationReadDmaCore,OP_K_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n020,RMSNorm 1,other,NormCore,NormCore,OP_K_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n022,K Proj,mac,SharedMatrixCore,SharedMatrixCore,OP_K_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n025,RoPE,other,ElementwiseTransformCore,ElementwiseTransformCore,OP_K_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n027,K cache,state,KVStateCore,KVStateCore,OP_K_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n024,V Proj,mac,SharedMatrixCore,SharedMatrixCore,OP_V_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n028,V cache,state,KVStateCore,KVStateCore,OP_V_PROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n023,Q Proj,mac,SharedMatrixCore,SharedMatrixCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n026,RoPE,other,ElementwiseTransformCore,ElementwiseTransformCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n029,K head repeat ×6,other,SequenceCore,SequenceCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n030,V head repeat ×6,other,SequenceCore,SequenceCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n031,Q × Kᵀ,mac,SequenceCore,SequenceCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n032,Softmax FP32,other,SequenceCore,SequenceCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n033,P × V,mac,SequenceCore,SequenceCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n034,O Proj,mac,SharedMatrixCore,SharedMatrixCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n035,+,plus,OutputCommitCore,OutputCommitCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n036,X + Attention,output,OutputCommitCore,OutputCommitCore,OP_Q_ATTN_OPROJ,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n037,RMSNorm 2,other,NormCore,NormCore,OP_FFN,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n039,gate_proj,mac,SharedMatrixCore,SharedMatrixCore,OP_FFN,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n040,up_proj,mac,SharedMatrixCore,SharedMatrixCore,OP_FFN,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,mapped_from_single_block_atlas
1,Qwen2 / Qwen2.5 Dense,01_qwen2_qwen2_5_dense.mmd,1,Dense decoder block,f01v01_n041,SiLU,other,FeedForwardCore,SharedMatrixCore,OP_FFN,01_qwen2_qwen2_5_dense_owner_timing_sequence_v5.mmd,01_qwen2_qwen2_5_dense_owner_timing_sequence_v6.mmd,existing_atlas_repo_grounded,current_fused_MlpSiluLane32Core
