group_id,tier,category,template,scheme_ids,w_bits,a_bits,k_bits,v_bits,format,sig_width,exp_width,ieee_compliance,acc_terms,acc_width,lanes,rows,cols,in_bits,out_bits,asymmetric,with_requant,mapping_scope,notes
INT_MAC_W2_A4_N64,L2,scalar_int_mac,int_mac,,2,4,,,signed_integer,,,,64,13,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W2_A8_N64,L2,scalar_int_mac,int_mac,,2,8,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W2_A16_N64,L2,scalar_int_mac,int_mac,,2,16,,,signed_integer,,,,64,25,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W3_A4_N64,L2,scalar_int_mac,int_mac,,3,4,,,signed_integer,,,,64,14,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W3_A8_N64,L2,scalar_int_mac,int_mac,,3,8,,,signed_integer,,,,64,18,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W3_A16_N64,L2,scalar_int_mac,int_mac,,3,16,,,signed_integer,,,,64,26,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W4_A4_N64,L1,scalar_int_mac,int_mac,,4,4,,,signed_integer,,,,64,15,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W4_A8_N64,L1,scalar_int_mac,int_mac,,4,8,,,signed_integer,,,,64,19,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W4_A16_N64,L1,scalar_int_mac,int_mac,,4,16,,,signed_integer,,,,64,27,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W6_A4_N64,L2,scalar_int_mac,int_mac,,6,4,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W6_A8_N64,L2,scalar_int_mac,int_mac,,6,8,,,signed_integer,,,,64,21,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W6_A16_N64,L2,scalar_int_mac,int_mac,,6,16,,,signed_integer,,,,64,29,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W8_A4_N64,L2,scalar_int_mac,int_mac,,8,4,,,signed_integer,,,,64,19,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W8_A8_N64,L1,scalar_int_mac,int_mac,,8,8,,,signed_integer,,,,64,23,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W8_A16_N64,L2,scalar_int_mac,int_mac,,8,16,,,signed_integer,,,,64,31,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W16_A4_N64,L2,scalar_int_mac,int_mac,,16,4,,,signed_integer,,,,64,27,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W16_A8_N64,L2,scalar_int_mac,int_mac,,16,8,,,signed_integer,,,,64,31,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W16_A16_N64,L2,scalar_int_mac,int_mac,,16,16,,,signed_integer,,,,64,39,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W5_A5_N64,L1,scalar_int_mac,int_mac,,5,5,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
INT_MAC_W4_A6_N64,L1,scalar_int_mac,int_mac,,4,6,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count."
