group_id,top_module,category,throughput_contract,comparison_role,run_count,valid_count,timing_met_count,best_feasible_area_um2,fastest_period_met_ns,area_1ghz_um2,wns_1ghz_ns,timing_met_1ghz,brick_count_precompile,dw_mult_count_precompile,report_other_multiplier_rows,library_set_id,status
BRICK16_BARE_PROOF,mul4x4_array16_proof,proof,16 unsigned 4x4 products/cycle,bare_multiplier_anchor,3,3,3,222.859,0.9,222.859,0.776135,1,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_BF16_ONLY_PIPE,fusion_mul16_bf16_only_pipe_top,dedicated,BF16 4 products and four accumulations/cycle,dedicated_bf16_reference,3,3,2,4296.747,1.0,7202.104,3.42727e-05,1,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_CORE_PPA,fusion_mul16_proof_top,core,Mode dependent 16/8/4/1 logical products per cycle,product_core_area,3,3,1,5271.266,2.0,8665.748,-0.0122304,0,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_CORE_PROOF,fusion_mul16_proof_top,proof,Mode dependent 16/8/4/1 logical products per cycle,structural_proof,3,3,0,,,4991.623,-1.38181,0,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_DUAL_SHARED_PIPE,fusion_mul16_dual_cluster_pipe_dw,shared_dual,Two independently selected modes per cycle,dual_cluster_candidate,3,3,1,30106.986,2.0,45222.3590001,-0.129555,0,32.0,32.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_FP8_ONLY_PIPE,fusion_mul16_fp8_only_pipe_top,dedicated,FP8 16 products and four dot4 accumulations/cycle,dedicated_fp8_reference,3,3,1,8741.46,2.0,14936.922,-0.0361113,0,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_FP_ACC_ONLY,fusion_mul16_fp_accum_proof_top,accumulator,Four FP32 dot accumulators/cycle,fp_accumulator_area,3,3,1,9035.663,2.0,15371.811,-0.169111,0,0.0,0.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_INT_ACC_ONLY,fusion_mul16_int_accum_proof_top,accumulator,Four integer dot accumulators/cycle,int_accumulator_area,3,3,3,1995.812,0.9,2198.742,0.000525177,1,0.0,0.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_INT_ONLY_PIPE,fusion_mul16_int_only_pipe_top,dedicated,I4xI8 8 MAC/cycle or I8xI8 4 MAC/cycle,dedicated_integer_reference,3,3,3,3228.953,0.9,4131.218,4.02331e-05,1,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_SEPARATE_FULL_PIPE,fusion_mul16_separate_reference_pipe_dw,separate,Integer plus FP8 plus BF16 may execute concurrently,matched_separate_reference,3,3,1,16233.854,2.0,27912.885,-0.0086357,0,48.0,48.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FUSION16_SHARED_FULL_PIPE,fusion_mul16_cluster_dw_pipe,shared,One selected mode per cycle,shared_candidate,3,3,1,15119.286,2.0,23201.815,-0.100014,0,16.0,16.0,0,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
