mode,pair_count,vector_count,rtl_checks,mismatches,simulator,seed
I4_I4,256,16,288,0,VCS W-2024.09,53719
I4_I8,4096,512,5120,0,VCS W-2024.09,53719
I8_I8,65536,16384,98304,0,VCS W-2024.09,53719
I16_I16,100000,100000,300000,0,VCS W-2024.09,53719
FP8_FP8,65536,4096,73728,0,VCS W-2024.09,53719
BF16_BF16,100000,25000,150000,0,VCS W-2024.09,53719
I4_FP8,4096,256,4608,0,VCS W-2024.09,53719
I8_FP8,65536,8192,81920,0,VCS W-2024.09,53719
I4_BF16,50000,6250,62500,0,VCS W-2024.09,53719
I8_BF16,50000,12500,75000,0,VCS W-2024.09,53719
