top_module,simulator,dw_sim_models,status
mul4x4_array16_proof,VCS W-2024.09,none,pass
fusion_mul16_proof_top,VCS W-2024.09,none,pass
fusion_mul16_int_accum_proof_top,VCS W-2024.09,none,pass
fusion_mul16_fp_accum_proof_top,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_int_only_pipe_top,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_fp8_only_pipe_top,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_bf16_only_pipe_top,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_cluster_dw_pipe,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_separate_reference_pipe_dw,VCS W-2024.09,official DW_fp_add,pass
fusion_mul16_dual_cluster_pipe_dw,VCS W-2024.09,official DW_fp_add,pass
