group_id,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,critical_startpoint,critical_endpoint,critical_path_group,critical_path_type
V2_BF16_ACCUM_ONLY,1.42455e-05,0.9999857545,1000.0142457,1,lane_item_packed_i[167],u_dut/pair23_q_reg[2][6],clk,max
V2_BF16_ONLY_BF16ACC_FIXED,7.08103e-05,0.9999291897,1000.07081531,1,u_dut/u_bf16_accum/acc_o_reg[2][12],u_dut/u_bf16_accum/status_o_reg[2][5],clk,max
V2_BRICK16_BARE_PROOF,0.776135,0.223865,4466.97786612,1,p_o_reg[113],p_o[113] (output port clocked by clk),clk,max
V2_CORE_BASE4_FTZ,0.000204325,0.999795675,1000.20436676,1,u_dut/fp_raw_q_reg[12][14],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max
V2_CORE_FULL7_FTZ,6.90818e-05,0.9999309182,1000.06908657,1,u_dut/fp_raw_q_reg[12][11],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max
V2_CORE_FULL7_SPECIAL,3.50475e-05,0.9999649525,1000.03504873,1,u_dut/fp_raw_q_reg[4][9],u_dut/bf16_lane_item_o_reg[1][0][14],clk,max
V2_CORE_PLUS_I4BF16_FTZ,0.000170887,0.999829113,1000.17091621,1,u_dut/fp_raw_q_reg[12][11],u_dut/bf16_lane_item_o_reg[3][0][14],clk,max
V2_CORE_PLUS_I4FP8_FTZ,0.000187159,0.999812841,1000.18719404,1,u_dut/fp_raw_q_reg[8][14],u_dut/bf16_lane_item_o_reg[2][0][14],clk,max
V2_FP8_NATIVE_BF16ACC_FIXED,3.03984e-06,0.99999696016,1000.00303985,1,u_dut/u_bf16_accum/pair23_q_reg[1][11],u_dut/u_bf16_accum/lane_sum_q_reg[1][10],clk,max
V2_FP8_WIDEN_BF16ACC_FIXED,4.70877e-06,0.99999529123,1000.00470879,1,u_dut/u_cluster/u_bf16_accum/acc_o_reg[1][11],u_dut/u_cluster/u_bf16_accum/acc_o_reg[1][8],clk,max
V2_I4BF16_FIXED,8.48174e-05,0.9999151826,1000.08482459,1,u_dut/u_bf16_accum/acc_o_reg[3][8],u_dut/u_bf16_accum/acc_o_reg[3][0],clk,max
V2_I4FP8_FIXED,7.03335e-05,0.9999296665,1000.07033845,1,u_dut/u_bf16_accum/acc_o_reg[2][11],u_dut/u_bf16_accum/status_o_reg[2][3],clk,max
V2_I8BF16_FIXED,0.000166118,0.999833882,1000.1661456,1,u_dut/u_product_pipe/fp_raw_q_reg[4][12],u_dut/u_product_pipe/bf16_lane_item_o_reg[1][0][14],clk,max
V2_INT_I4I8_FIXED,0.000632107,0.999367893,1000.63250681,1,u_dut/u_product_pipe/int_lane_sum_o_reg[1][14],u_dut/u_int_accum/acc_o_reg[1][47],clk,max
V2_INT_I8I8_FIXED,0.000274837,0.999725163,1000.27491256,1,u_dut/u_product_pipe/int_lane_sum_o_reg[0][16],u_dut/u_int_accum/acc_o_reg[0][47],clk,max
V2_SEPARATE_FULL_FTZ,5.48363e-06,0.99999451637,1000.00548366,1,u_dut/u_fp8/u_product_pipe/bf16_lane_item_o_reg[3][2][3],u_dut/u_fp8/u_bf16_accum/pair23_q_reg[3][6],clk,max
V2_SHARED_BASE4_FTZ,2.98023e-06,0.99999701977,1000.00298024,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[1][0][13],u_dut/u_bf16_accum/status_q1_reg[1][5],clk,max
V2_SHARED_FULL7_FTZ,2.65241e-05,0.9999734759,1000.0265248,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[1][3][7],u_dut/u_bf16_accum/status_q1_reg[1][5],clk,max
V2_SHARED_FULL7_SPECIAL,2.33054e-05,0.9999766946,1000.02330594,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[3][2][10],u_dut/u_bf16_accum/pair23_q_reg[3][15],clk,max
V2_SHARED_PLUS_I4BF16_FTZ,3.33786e-05,0.9999666214,1000.03337971,1,u_dut/u_bf16_accum/pair23_q_reg[0][8],u_dut/u_bf16_accum/lane_sum_q_reg[0][7],clk,max
V2_SHARED_PLUS_I4FP8_FTZ,6.75917e-05,0.9999324083,1000.06759627,1,u_dut/u_product_pipe/bf16_lane_item_o_reg[2][1][10],u_dut/u_bf16_accum/pair01_q_reg[2][0],clk,max
