input_kind,distribution,dot_length,samples,items_per_cycle,accum_style,block_products,median_cancellation_ratio,p99_cancellation_ratio,reference_rms,rmse,nrmse,relative_samples,median_relative_error_filtered,p95_relative_error_filtered,p99_relative_error_filtered,max_abs_error
fp8_proxy,gaussian,128,1600,4,full_bf16,,10.36092149211666,504.7224706419304,10.565800626043991,0.07323688992077274,0.006931504058504446,1485,0.0055921473812687176,0.026221518983832837,0.04719580861353254,0.35662841796875
fp8_proxy,gaussian,128,1600,4,bf16_tree_fp32_recurrent,,10.36092149211666,504.7224706419304,10.565800626043991,0.023881428685732696,0.002260257365340263,1485,0.0020017789284184784,0.013466860322914128,0.027195792941331964,0.10158538818359375
fp8_proxy,gaussian,128,1600,4,bf16_block64_fp32_checkpoint,64,10.36092149211666,504.7224706419304,10.565800626043991,0.0581260247907359,0.005501336514665925,1485,0.00469355742709165,0.02603831259282539,0.05654052715602163,0.244537353515625
fp8_proxy,gaussian,1024,600,4,full_bf16,,32.156056626355905,1464.1053155772931,27.575782821493892,0.5653165601140662,0.020500471873220266,552,0.015793810125419642,0.07612668916772407,0.16595545869889616,3.2554070949554443
fp8_proxy,gaussian,1024,600,4,bf16_tree_fp32_recurrent,,32.156056626355905,1464.1053155772931,27.575782821493892,0.06961361977564029,0.002524447636764099,552,0.0022934715254074485,0.015560669441697352,0.02841242530252451,0.22854232788085938
fp8_proxy,gaussian,1024,600,4,bf16_block64_fp32_checkpoint,64,32.156056626355905,1464.1053155772931,27.575782821493892,0.15869529430444168,0.005754879030333345,552,0.004901522821233078,0.03653493139388249,0.06869445495041374,0.5249321460723877
fp8_proxy,gaussian,4096,240,4,full_bf16,,56.73975834302405,1214.6342979602302,59.246036994175434,2.562421452684493,0.04325051231589395,228,0.02945251537896844,0.16260069902174065,0.38534168044649414,12.245996712503256
fp8_proxy,gaussian,4096,240,4,bf16_tree_fp32_recurrent,,56.73975834302405,1214.6342979602302,59.246036994175434,0.13946514864393447,0.0023539996212345055,228,0.0021724737041166446,0.020355012532900427,0.031785046096048875,0.3249816596508026
fp8_proxy,gaussian,4096,240,4,bf16_block64_fp32_checkpoint,64,56.73975834302405,1214.6342979602302,59.246036994175434,0.3432402851497181,0.005793472484639986,228,0.005554090195190955,0.03494271486240812,0.07257771765674793,1.0799270868301392
fp8_proxy,positive,128,1600,4,full_bf16,,1.0,1.0,75.10970022140444,0.4299193039872513,0.005723885233464622,1600,0.003753556027569844,0.011340459994934899,0.014380845893822094,1.4963970184326172
