group_id,scope,accum_style,fixed_mode,support_fp8,support_bf16,support_i4_fp8,support_i4_bf16,support_i8_bf16,support_specials,top_kind,constraint_profile,expected_fp_add_bf16,expected_fp_add_fp32,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_input_sha256,extra_constraint_tcl,library_set_id,compile_mode,compile_mode_reported,mapped_cell_area_um2,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,leaf_cell_count,blackbox_count,brick_instance_count_precompile,dw_mult_instance_count_precompile,dw_mult_4x4_rows,other_multiplier_rows,bf16_add_rows,fp32_add_rows,source_multiply_operator_files,source_fp_mult_files,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,multicycle_applied,tool_version,constraint_violator_lines,dc_error_count,rtl_input_sha256_reported,library_setup_sha256,dc_max_cores,multicycle_source,reports_complete,status,report_dir
V3_ACC_BLOCK64_FP32_CKPT,accumulator_only,2,-1,1,1,1,1,1,0,accum_block64,checkpoint_mc2,16,4,BF16 partial sum over 64 products plus four FP32 checkpoint accumulators,V3_ACC_BLOCK64_FP32_CKPT,1.0,1000.0,evidence/dc/V3_ACC_BLOCK64_FP32_CKPT,25866823e47b31c1e367c8deb43ce088152bf2f29c10459f369d5a97ab45fa53,<V3_ROOT>/config/checkpoint_multicycle.tcl,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,9486.022,8891.246092,594.77599,1072.161987,21315.0,0.0,0.0,0.0,0.0,0,16,4,mul4x4_brick.sv,,1.04904e-05,0.9999895096,1000.01049051,1,1,X-2025.06-SP3,453,0,25866823e47b31c1e367c8deb43ce088152bf2f29c10459f369d5a97ab45fa53,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,<V3_ROOT>/config/checkpoint_multicycle.tcl,1,ok,evidence/dc/V3_ACC_BLOCK64_FP32_CKPT/reports
V3_ACC_FULL_BF16,accumulator_only,0,-1,1,1,1,1,1,0,accum_full_bf16,single_cycle,16,0,Current v2 all-BF16 accumulation baseline,V3_ACC_FULL_BF16,1.0,1000.0,evidence/dc/V3_ACC_FULL_BF16,74ea16a5eae445ad378abfac6ea860c332f357b5c886b204a96793e5e657e14e,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,6118.749,5542.992055,575.756991,731.002991,12940.0,0.0,0.0,0.0,0.0,0,16,0,mul4x4_brick.sv,,1.78814e-05,0.9999821186,1000.01788172,1,0,X-2025.06-SP3,2,0,74ea16a5eae445ad378abfac6ea860c332f357b5c886b204a96793e5e657e14e,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_ACC_FULL_BF16/reports
V3_ACC_TREE_FP32_REC,accumulator_only,1,-1,1,1,1,1,1,0,accum_fp32_recurrent,single_cycle,12,4,BF16 pair/lane tree plus four FP32 recurrent accumulators,V3_ACC_TREE_FP32_REC,1.0,1000.0,evidence/dc/V3_ACC_TREE_FP32_REC,c20314e16b19b2d2294cf9813b712b846c641da4746ba720ffb97654d57e99c3,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,8864.674,8178.26108,686.412989,1059.694988,18750.0,0.0,0.0,0.0,0.0,0,12,4,mul4x4_brick.sv,,0.0,1.0,1000.0,1,0,X-2025.06-SP3,2,0,c20314e16b19b2d2294cf9813b712b846c641da4746ba720ffb97654d57e99c3,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_ACC_TREE_FP32_REC/reports
V3_BF16_BLOCK64_FP32_CKPT_FIXED,fixed_bf16,2,3,0,1,0,0,0,0,cluster_fixed,checkpoint_mc2,16,4,BF16 fixed mode block64 checkpoint accumulation,V3_BF16_BLOCK64_FP32_CKPT_FIXED,1.0,1000.0,evidence/dc/V3_BF16_BLOCK64_FP32_CKPT_FIXED,8dea0afcdf9029b2c266e0d783db1c444d2cd7fb1ec162f2503949bc1c0c6fa7,<V3_ROOT>/config/checkpoint_multicycle.tcl,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,6513.598,5268.71805,1244.87998,637.090993,13368.0,0.0,16.0,16.0,16.0,0,16,4,mul4x4_brick.sv,,2.88486e-05,0.9999711514,1000.02884943,1,1,X-2025.06-SP3,648,0,8dea0afcdf9029b2c266e0d783db1c444d2cd7fb1ec162f2503949bc1c0c6fa7,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,<V3_ROOT>/config/checkpoint_multicycle.tcl,1,ok,evidence/dc/V3_BF16_BLOCK64_FP32_CKPT_FIXED/reports
V3_BF16_FULL_BF16_FIXED,fixed_bf16,0,3,0,1,0,0,0,0,cluster_fixed,single_cycle,16,0,BF16 fixed mode all-BF16 accumulation,V3_BF16_FULL_BF16_FIXED,1.0,1000.0,evidence/dc/V3_BF16_FULL_BF16_FIXED,afa6d79514f85a52a366be9c0bd641184855d0aa8f989d332f6a0dc254906395,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,3290.469,2064.608019,1225.86098,274.455996,5787.0,0.0,16.0,16.0,16.0,0,16,0,mul4x4_brick.sv,,3.18885e-05,0.9999681115,1000.03188952,1,0,X-2025.06-SP3,564,0,afa6d79514f85a52a366be9c0bd641184855d0aa8f989d332f6a0dc254906395,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_BF16_FULL_BF16_FIXED/reports
V3_BF16_TREE_FP32_REC_FIXED,fixed_bf16,1,3,0,1,0,0,0,0,cluster_fixed,single_cycle,12,4,BF16 fixed mode FP32 recurrent accumulation,V3_BF16_TREE_FP32_REC_FIXED,1.0,1000.0,evidence/dc/V3_BF16_TREE_FP32_REC_FIXED,0a15d9bf034d87ea784a48cc2c414a031f32fce2693ebceafcba80399df07534,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,5658.926,4322.409044,1336.516979,545.271994,10454.0,0.0,16.0,16.0,16.0,0,12,4,mul4x4_brick.sv,,7.92742e-06,0.99999207258,1000.00792748,1,0,X-2025.06-SP3,195,0,0a15d9bf034d87ea784a48cc2c414a031f32fce2693ebceafcba80399df07534,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_BF16_TREE_FP32_REC_FIXED/reports
V3_CLUSTER_BLOCK64_FP32_CKPT_FULL7,full_cluster,2,-1,1,1,1,1,1,0,cluster_dynamic,checkpoint_mc2,16,4,Full seven-mode cluster with Kblock64 checkpoint accumulation,V3_CLUSTER_BLOCK64_FP32_CKPT_FULL7,1.0,1000.0,evidence/dc/V3_CLUSTER_BLOCK64_FP32_CKPT_FULL7,9fd19b51cdab86ad4e9afbff9ffbfb7611cde7ea26fcee5a4179829932b1f4a1,<V3_ROOT>/config/checkpoint_multicycle.tcl,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,14869.491,11657.009113,3212.481949,1332.512983,30436.0,0.0,16.0,16.0,16.0,0,16,4,mul4x4_brick.sv,,2.68221e-06,0.99999731779,1000.00268222,1,1,X-2025.06-SP3,713,0,9fd19b51cdab86ad4e9afbff9ffbfb7611cde7ea26fcee5a4179829932b1f4a1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,<V3_ROOT>/config/checkpoint_multicycle.tcl,1,ok,evidence/dc/V3_CLUSTER_BLOCK64_FP32_CKPT_FULL7/reports
V3_CLUSTER_FULL_BF16_FULL7,full_cluster,0,-1,1,1,1,1,1,0,cluster_dynamic,single_cycle,16,0,Full seven-mode cluster with current all-BF16 accumulation,V3_CLUSTER_FULL_BF16_FULL7,1.0,1000.0,evidence/dc/V3_CLUSTER_FULL_BF16_FULL7,1a60dcdb216aa2c8cb38efb8648fa91b8a8314c9a6387700304d2e60d7bd1784,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,11781.133,8580.208091,3200.924957,967.784986,22565.0,0.0,16.0,16.0,16.0,0,16,0,mul4x4_brick.sv,,1.92523e-05,0.9999807477,1000.01925267,1,0,X-2025.06-SP3,261,0,1a60dcdb216aa2c8cb38efb8648fa91b8a8314c9a6387700304d2e60d7bd1784,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_CLUSTER_FULL_BF16_FULL7/reports
V3_CLUSTER_TREE_FP32_REC_FULL7,full_cluster,1,-1,1,1,1,1,1,0,cluster_dynamic,single_cycle,12,4,Full seven-mode cluster with FP32 recurrent accumulation,V3_CLUSTER_TREE_FP32_REC_FULL7,1.0,1000.0,evidence/dc/V3_CLUSTER_TREE_FP32_REC_FULL7,d273f5112f506856ebf056db0817c7be00536bb972ee732b8e883bbdcd667813,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,14043.211,10727.353114,3315.857959,1223.312985,27297.0,0.0,16.0,16.0,16.0,0,12,4,mul4x4_brick.sv,,7.98702e-06,0.99999201298,1000.00798708,1,0,X-2025.06-SP3,259,0,d273f5112f506856ebf056db0817c7be00536bb972ee732b8e883bbdcd667813,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_CLUSTER_TREE_FP32_REC_FULL7/reports
V3_FP8_BLOCK64_FP32_CKPT_FIXED,fixed_fp8,2,2,1,0,0,0,0,0,cluster_fixed,checkpoint_mc2,16,4,FP8 fixed mode block64 checkpoint accumulation,V3_FP8_BLOCK64_FP32_CKPT_FIXED,1.0,1000.0,evidence/dc/V3_FP8_BLOCK64_FP32_CKPT_FIXED,49fef180b61a2fce695088a93513b91adf95da8431bb3faada72e1b4b9cdf6df,<V3_ROOT>/config/checkpoint_multicycle.tcl,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,11620.336,9239.503085,2380.832962,1167.256986,23999.0,0.0,16.0,16.0,16.0,0,16,4,mul4x4_brick.sv,,1.0848e-05,0.999989152,1000.01084812,1,1,X-2025.06-SP3,712,0,49fef180b61a2fce695088a93513b91adf95da8431bb3faada72e1b4b9cdf6df,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,<V3_ROOT>/config/checkpoint_multicycle.tcl,1,ok,evidence/dc/V3_FP8_BLOCK64_FP32_CKPT_FIXED/reports
V3_FP8_FULL_BF16_FIXED,fixed_fp8,0,2,1,0,0,0,0,0,cluster_fixed,single_cycle,16,0,FP8 fixed mode all-BF16 accumulation,V3_FP8_FULL_BF16_FIXED,1.0,1000.0,evidence/dc/V3_FP8_FULL_BF16_FIXED,50edd671b6bc9fd2377592979b066b3ca4a433c2c9e2cf76045b37429a2f364f,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,8425.235,6059.963058,2365.271962,785.420988,16574.0,0.0,16.0,16.0,16.0,0,16,0,mul4x4_brick.sv,,1.20997e-05,0.9999879003,1000.01209985,1,0,X-2025.06-SP3,258,0,50edd671b6bc9fd2377592979b066b3ca4a433c2c9e2cf76045b37429a2f364f,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_FP8_FULL_BF16_FIXED/reports
V3_FP8_TREE_FP32_REC_FIXED,fixed_fp8,1,2,1,0,0,0,0,0,cluster_fixed,single_cycle,12,4,FP8 fixed mode FP32 recurrent accumulation,V3_FP8_TREE_FP32_REC_FIXED,1.0,1000.0,evidence/dc/V3_FP8_TREE_FP32_REC_FIXED,a62c428107b900f32abc0d95b65459e697860cbe7fbf62a83dcef4d899bb0eef,,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,ultra,10889.06,8413.132081,2475.92796,1061.696986,21176.0,0.0,16.0,16.0,16.0,0,12,4,mul4x4_brick.sv,,3.52859e-05,0.9999647141,1000.03528715,1,0,X-2025.06-SP3,259,0,a62c428107b900f32abc0d95b65459e697860cbe7fbf62a83dcef4d899bb0eef,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,,1,ok,evidence/dc/V3_FP8_TREE_FP32_REC_FIXED/reports
