case_id,items_per_cycle,products_per_lane,cycles,needs_flush,vector_file,full_bf16_lane0,full_bf16_lane1,full_bf16_lane2,full_bf16_lane3,fp32_recurrent_lane0,fp32_recurrent_lane1,fp32_recurrent_lane2,fp32_recurrent_lane3,block64_checkpoint_lane0,block64_checkpoint_lane1,block64_checkpoint_lane2,block64_checkpoint_lane3,returncode,passed,stdout_tail,stderr_tail
0,1,64,64,0,case_00_i1_k64.hex,3f92,c030,409b,4072,3f8d6d00,c0305900,409b8630,4072e2d8,3f920000,c0300000,409b0000,40720000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:03 2026
PASS cycles=64 items=1 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                95000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 95000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:03:51 2026",
1,1,128,128,0,case_01_i1_k128.hex,c1c5,418c,c1bf,c24c,c1c43580,4188f017,c1b9e94d,c24e2bc4,c1c38000,4189c000,c1ba8000,c24c9100,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:03 2026
PASS cycles=128 items=1 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time               159000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 159000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:03:54 2026",
2,1,1024,1024,0,case_02_i1_k1024.hex,c19d,40a8,c14a,c3df,c19d4bcc,40b3b43c,c132aa1c,c3dc0c92,c19eec00,40b45000,c1358000,c3d90600,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:03 2026
PASS cycles=1024 items=1 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time              1055000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1055000 ps
CPU Time:      0.120 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:03:56 2026",
3,1,4096,4096,0,case_03_i1_k4096.hex,42d0,c237,c2f3,c2ed,42c30430,c22b51dc,c2ed77f1,c31a8e87,42c18b00,c229bd00,c2f11300,c31d6a00,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:03 2026
PASS cycles=4096 items=1 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time              4127000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 4127000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:02 2026",
4,1,70,70,1,case_04_i1_k70.hex,c031,c15a,408d,c044,c02b3d00,c15bfd00,408a0088,c0452b00,c0308000,c15aa000,408d8000,c0434000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=70 items=1 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time               102000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 102000 ps
CPU Time:      0.120 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:04 2026",
5,2,64,32,0,case_05_i2_k64.hex,403a,4057,c18f,c107,403ca400,40583800,c190cd00,c106c400,403a0000,40570000,c18f0000,c1070000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=32 items=2 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                63000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 63000 ps
CPU Time:      0.120 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:06 2026",
6,2,128,64,0,case_06_i2_k128.hex,416f,3f81,41a1,41ca,41704200,3f794000,41a00d40,41cd2080,416e8000,3f7e0000,419f8000,41cc0800,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=64 items=2 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                95000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 95000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:09 2026",
7,2,1024,512,0,case_07_i2_k1024.hex,420c,c098,c1ca,43a6,420da2d8,c0a15380,c1ca8400,43a97cd4,420cb200,c09d8000,c1cae000,43a91c80,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=512 items=2 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time               543000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 543000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:11 2026",
8,2,4096,2048,0,case_08_i2_k4096.hex,41ff,4202,41e0,c3f9,41ffd010,420b6db8,41df6a40,c3ee56ca,42020200,4209d800,41df5800,c3f35100,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=2048 items=2 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time              2079000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 2079000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:13 2026",
9,2,70,35,1,case_09_i2_k70.hex,c120,3fc8,c186,40fb,c11f7500,3fc90000,c18716d0,40fc87c0,c11fc000,3fc80000,c1862000,40fb8000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=35 items=2 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                67000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 67000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:15 2026",
10,4,64,16,0,case_10_i4_k64.hex,bf48,3fac,c1b4,409a,bf468000,3fac4000,c1b3e400,40994000,bf480000,3fac0000,c1b40000,409a0000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=16 items=4 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                47000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 47000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:18 2026",
11,4,128,32,0,case_11_i4_k128.hex,c10c,c189,400b,c1ec,c107f800,c1898a00,400bd000,c1eb8200,c10b4000,c1890000,400a0000,c1ec8000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=32 items=4 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                63000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 63000 ps
CPU Time:      0.120 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:20 2026",
12,4,1024,256,0,case_12_i4_k1024.hex,4256,c1ea,c22f,c467,42569500,c1e9a000,c2315480,c4689b48,4256cc00,c1e79000,c2319400,c4669e80,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=256 items=4 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time               287000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 287000 ps
CPU Time:      0.110 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:22 2026",
13,4,4096,1024,0,case_13_i4_k4096.hex,c145,c252,4215,442e,c1367f80,c255c740,42163e60,442e6ae8,c134b000,c2567c00,42169400,442e5080,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=1024 items=4 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time              1055000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 1055000 ps
CPU Time:      0.130 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:24 2026",
14,4,68,17,1,case_14_i4_k68.hex,c034,4078,c128,bff6,c034c000,4076e000,c1277000,bfec7000,c0344000,40780000,c127c000,bff60000,0,1,"Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  2 20:04 2026
PASS cycles=17 items=4 failures=0
$finish called from file ""<V3_ROOT>/tb/fusion_mul16_v3_accum_compare_tb.sv"", line 131.
$finish at simulation time                49000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 49000 ps
CPU Time:      0.120 seconds;       Data structure size:   0.3Mb
Wed Sep  2 20:04:26 2026",
