group_id,top_kind,fixed_mode,support_specials,ieee_compliance,keep_hierarchy,expected_bricks,expected_bf16_adders,expected_fp32_adders,hard_timing_gate,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_input_sha256,library_set_id,compile_mode,mapped_cell_area_um2,combinational_area_um2,noncombinational_area_um2,total_cell_area_um2,leaf_cell_count,blackbox_count,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,worst_hold_violation_ns,hold_violation_count,hold_tns_ns,setup_tns_ns,setup_violating_paths,high_fanout_warning_count,high_fanout_net_count,max_transition_violations,max_capacitance_violations,unconstrained_endpoint_count,critical_startpoint,critical_endpoint,constraint_violator_lines,dc_error_count,brick_instance_count_precompile,dw_mult_instance_count_precompile,dw_mult_4x4_rows,bf16_add_rows,fp32_add_rows,other_multiplier_rows,rtl_input_sha256_reported,library_setup_sha256,dc_max_cores,compile_mode_reported,reports_complete,status,report_dir
V4_ACCUM_BF16TREE_FP32REC,accum_only,-1,0,0,1,0,12,4,1,v3-selected accumulator only,V4_ACCUM_BF16TREE_FP32REC,1.0,1000.0,evidence/dc/V4_ACCUM_BF16TREE_FP32REC,92c258d467052b19bfcfd481299e14eadc87e1addb7159909f8b2ab9007c4c6f,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,8603.049,7914.907084,688.141989,8603.049073,18057.0,0.0,1.43051e-05,0.9999856949,1000.0143053,1,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0,u_dut/u_tree/lane_sum_o_reg[2][5],u_dut/acc_fp32_o_reg[2][9],2,0,0.0,0.0,0,12,4,0,92c258d467052b19bfcfd481299e14eadc87e1addb7159909f8b2ab9007c4c6f,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_ACCUM_BF16TREE_FP32REC/reports
V4_BRICK16_PROOF,brick_proof,-1,0,0,1,16,0,0,0,Structural proof of exactly sixteen 4x4 multipliers,V4_BRICK16_PROOF,1.0,1000.0,evidence/dc/V4_BRICK16_PROOF,d53341c69d43b47dccc8b58665819c583424c60e99587fc119608c23091526bb,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,309.946,309.946006,0.0,309.946006,544.0,0.0,0.37207,0.62793,1592.53419967,1,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0,b_i[56] (input port clocked by clk),product_o[118],2,0,16.0,16.0,16,0,0,0,d53341c69d43b47dccc8b58665819c583424c60e99587fc119608c23091526bb,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_BRICK16_PROOF/reports
V4_FINAL_DYNAMIC_FTZ,final,-1,0,0,0,16,12,4,1,Release inference profile,V4_FINAL_DYNAMIC_FTZ,1.0,1000.0,evidence/dc/V4_FINAL_DYNAMIC_FTZ,4e9002baf030322a9ecdc8cd9bdcc2ede7a297040c3d743678e9b3d782cbff52,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,14277.9,10972.052114,3305.847947,14277.900061,27691.0,0.0,1.77026e-05,0.9999822974,1000.01770291,1,-0.02,1.0,-0.02,0.0,0.0,1,1.0,0.0,0.0,0,u_dut/u_core/u_fp_accum/acc_fp32_o_reg[2][23],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[2][9],3,0,16.0,16.0,16,12,4,0,4e9002baf030322a9ecdc8cd9bdcc2ede7a297040c3d743678e9b3d782cbff52,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FINAL_DYNAMIC_FTZ/reports
V4_FINAL_DYNAMIC_IEEE,final,-1,1,1,0,16,12,4,0,Optional special/IEEE profile; area and timing characterization,V4_FINAL_DYNAMIC_IEEE,1.0,1000.0,evidence/dc/V4_FINAL_DYNAMIC_IEEE,6ca098ca181d6e180837d5612427f9803518c8f1017f67e4c788f7a29ea420aa,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,16440.515,13018.824128,3421.690945,16440.515073,31465.0,0.0,-0.0663595,1.0663595,937.770048469,0,-0.02,1.0,-0.02,-14.81,293.0,1,1.0,0.0,0.0,0,u_dut/u_core/u_fp_accum/u_tree/pair01_q_reg[1][10],u_dut/u_core/u_fp_accum/u_tree/lane_sum_o_reg[1][2],296,0,16.0,16.0,16,12,4,0,6ca098ca181d6e180837d5612427f9803518c8f1017f67e4c788f7a29ea420aa,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FINAL_DYNAMIC_IEEE/reports
V4_FIXED_BF16_BF16,final,3,0,0,0,16,12,4,1,Fixed BF16 mode,V4_FIXED_BF16_BF16,1.0,1000.0,evidence/dc/V4_FIXED_BF16_BF16,f4aa9cd9c8be04108a08a78f889db72a1e6afecb977c0640ee8828a549e08a59,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,6134.037,4766.398052,1367.638978,6134.03703,11126.0,0.0,5.00679e-06,0.99999499321,1000.00500682,1,-0.02,44.0,-0.04,0.0,0.0,0,,0.0,0.0,0,u_dut/u_core/u_fp_accum/u_tree/lane_sum_o_reg[2][11],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[2][2],46,0,16.0,16.0,16,12,4,0,f4aa9cd9c8be04108a08a78f889db72a1e6afecb977c0640ee8828a549e08a59,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_BF16_BF16/reports
V4_FIXED_FP8_FP8,final,2,0,0,0,16,12,4,1,Fixed FP8 mode,V4_FIXED_FP8_FP8,1.0,1000.0,evidence/dc/V4_FIXED_FP8_FP8,67e411b3f4179d444a00673c13344e0e10e83dd3539e4df29c7eed022d8e9a85,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,11268.712,8761.662092,2507.04996,11268.712052,21821.0,0.0,2.43783e-05,0.9999756217,1000.02437889,1,-0.02,11.0,-0.04,0.0,0.0,1,1.0,0.0,0.0,0,u_dut/u_core/u_fp_accum/u_tree/lane_sum_o_reg[3][11],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[3][22],13,0,16.0,16.0,16,12,4,0,67e411b3f4179d444a00673c13344e0e10e83dd3539e4df29c7eed022d8e9a85,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_FP8_FP8/reports
V4_FIXED_I4_BF16,final,5,0,0,0,16,12,4,1,Fixed mixed mode,V4_FIXED_I4_BF16,1.0,1000.0,evidence/dc/V4_FIXED_I4_BF16,a3f54234777ad5bffa2e5f3e2f439e57fefb612a53d8b917e9fd173dc27e5761,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,8081.073,6215.482063,1865.59097,8081.073033,15408.0,0.0,0.0,1.0,1000.0,1,-0.02,27.0,-0.05,0.0,0.0,1,1.0,0.0,0.0,0,u_dut/u_core/u_fp_accum/acc_fp32_o_reg[3][27],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[3][10],29,0,16.0,16.0,16,12,4,0,a3f54234777ad5bffa2e5f3e2f439e57fefb612a53d8b917e9fd173dc27e5761,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_I4_BF16/reports
V4_FIXED_I4_FP8,final,4,0,0,0,16,12,4,1,Fixed mixed mode,V4_FIXED_I4_FP8,1.0,1000.0,evidence/dc/V4_FIXED_I4_FP8,231b5bc32a0295188742c4cb4d79312b98f0d96695c84702e69fa8b4c3991148,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,11035.843,8611.785088,2424.057961,11035.843049,21416.0,0.0,9.65595e-06,0.99999034405,1000.00965604,1,-0.02,11.0,-0.04,0.0,0.0,1,1.0,0.0,0.0,0,u_dut/u_core/u_fp_accum/u_tree/lane_sum_o_reg[2][11],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[2][22],13,0,16.0,16.0,16,12,4,0,231b5bc32a0295188742c4cb4d79312b98f0d96695c84702e69fa8b4c3991148,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_I4_FP8/reports
V4_FIXED_I4_I8,final,0,0,0,0,16,0,0,1,Fixed integer mode,V4_FIXED_I4_I8,1.0,1000.0,evidence/dc/V4_FIXED_I4_I8,a072751d106ce2af6c0822e03badaf04fb19ef9597ddb2298ebb445c3fa9efeb,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,2235.779,1350.531024,885.247986,2235.77901,3797.0,0.0,0.00146741,0.99853259,1001.46956646,1,0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0,u_product_pipe/int_lane_sum_o_reg[1][14],u_int_accum/acc_o_reg[1][47],2,0,16.0,16.0,16,0,0,0,a072751d106ce2af6c0822e03badaf04fb19ef9597ddb2298ebb445c3fa9efeb,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_I4_I8/reports
V4_FIXED_I8_BF16,final,6,0,0,0,16,12,4,1,Fixed mixed mode,V4_FIXED_I8_BF16,1.0,1000.0,evidence/dc/V4_FIXED_I8_BF16,0a6e9309134cacd431b14aafb8dcc23f1a0dab6d0e635f83be6292ea8a072650,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,5980.52,4633.629049,1346.890978,5980.520028,11003.0,0.0,2.8193e-05,0.999971807,1000.02819379,1,-0.02,44.0,-0.04,0.0,0.0,0,,0.0,0.0,0,u_dut/u_core/u_fp_accum/acc_fp32_o_reg[0][28],u_dut/u_core/u_fp_accum/acc_fp32_o_reg[0][1],46,0,16.0,16.0,16,12,4,0,0a6e9309134cacd431b14aafb8dcc23f1a0dab6d0e635f83be6292ea8a072650,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,1.0,ultra,1,ok,evidence/dc/V4_FIXED_I8_BF16/reports
