case_id,mode,mode_name,beats,vector_file,result_kind,latency_stages,clear_latency_stages,int_lane0,fp_lane0,int_lane1,fp_lane1,int_lane2,fp_lane2,int_lane3,fp_lane3,returncode,passed,stdout_tail,stderr_tail
0,0,i4_i8,1,case_00_i4_i8_n1.hex,int,4,7,000000000379,00000000,000000000401,00000000,fffffffffc45,00000000,ffffffffffc4,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:32 2026
PASS mode=0 beats=1
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                32000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 32000 ps
CPU Time:      0.160 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:32:47 2026",
1,0,i4_i8,4,case_01_i4_i8_n4.hex,int,4,7,0000000002b7,00000000,000000000155,00000000,00000000039d,00000000,000000000694,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:32 2026
PASS mode=0 beats=4
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                35000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 35000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:32:50 2026",
2,0,i4_i8,17,case_02_i4_i8_n17.hex,int,4,7,000000000d84,00000000,00000000062c,00000000,fffffffffec2,00000000,fffffffffc7b,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:32 2026
PASS mode=0 beats=17
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                48000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 48000 ps
CPU Time:      0.160 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:32:53 2026",
3,0,i4_i8,64,case_03_i4_i8_n64.hex,int,4,7,00000000059e,00000000,000000000a5a,00000000,000000001165,00000000,000000000bca,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:32 2026
PASS mode=0 beats=64
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                95000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 95000 ps
CPU Time:      0.160 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:32:55 2026",
4,1,i8_i8,1,case_04_i8_i8_n1.hex,int,4,7,000000000000,00000000,ffffffffc080,00000000,ffffffffc080,00000000,ffffffffffff,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:32 2026
PASS mode=1 beats=1
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                32000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 32000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:01 2026",
5,1,i8_i8,4,case_05_i8_i8_n4.hex,int,4,7,ffffffffff75,00000000,ffffffff8e46,00000000,ffffffffbabb,00000000,ffffffffbf69,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:33 2026
PASS mode=1 beats=4
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                35000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 35000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:06 2026",
6,1,i8_i8,17,case_06_i8_i8_n17.hex,int,4,7,0000000056f0,00000000,00000000710e,00000000,000000003bcb,00000000,000000006fe1,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:33 2026
PASS mode=1 beats=17
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                48000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 48000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:12 2026",
7,1,i8_i8,64,case_07_i8_i8_n64.hex,int,4,7,00000000191a,00000000,ffffffffced8,00000000,00000000106a,00000000,ffffffff73af,00000000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:33 2026
PASS mode=1 beats=64
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                95000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 95000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:17 2026",
8,2,fp8_fp8,1,case_08_fp8_fp8_n1.hex,fp,7,7,000000000000,40000000,000000000000,c2900000,000000000000,c33d0000,000000000000,c08e0000,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:33 2026
PASS mode=2 beats=1
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                32000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 32000 ps
CPU Time:      0.150 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:24 2026",
9,2,fp8_fp8,4,case_09_fp8_fp8_n4.hex,fp,7,7,000000000000,43c10800,000000000000,c5cc30dc,000000000000,c61e7780,000000000000,c57635c0,0,1,"Chronologic VCS simulator copyright 1991-2024
Contains Synopsys proprietary information.
Compiler version W-2024.09_Full64; Runtime version W-2024.09_Full64;  Sep  3 09:33 2026
PASS mode=2 beats=4
$finish called from file ""<V4_ROOT>/tb/fusion_mul16_v4_top_tb.sv"", line 85.
$finish at simulation time                35000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 35000 ps
CPU Time:      0.160 seconds;       Data structure size:   0.1Mb
Thu Sep  3 09:33:29 2026",
