case_id,mode,mode_name,beats,vector_file,result_kind,latency_stages,clear_latency_stages,int_lane0,fp_lane0,int_lane1,fp_lane1,int_lane2,fp_lane2,int_lane3,fp_lane3
0,0,i4_i8,1,case_00_i4_i8_n1.hex,int,4,7,000000000379,00000000,000000000401,00000000,fffffffffc45,00000000,ffffffffffc4,00000000
1,0,i4_i8,4,case_01_i4_i8_n4.hex,int,4,7,0000000002b7,00000000,000000000155,00000000,00000000039d,00000000,000000000694,00000000
2,0,i4_i8,17,case_02_i4_i8_n17.hex,int,4,7,000000000d84,00000000,00000000062c,00000000,fffffffffec2,00000000,fffffffffc7b,00000000
3,0,i4_i8,64,case_03_i4_i8_n64.hex,int,4,7,00000000059e,00000000,000000000a5a,00000000,000000001165,00000000,000000000bca,00000000
4,1,i8_i8,1,case_04_i8_i8_n1.hex,int,4,7,000000000000,00000000,ffffffffc080,00000000,ffffffffc080,00000000,ffffffffffff,00000000
5,1,i8_i8,4,case_05_i8_i8_n4.hex,int,4,7,ffffffffff75,00000000,ffffffff8e46,00000000,ffffffffbabb,00000000,ffffffffbf69,00000000
6,1,i8_i8,17,case_06_i8_i8_n17.hex,int,4,7,0000000056f0,00000000,00000000710e,00000000,000000003bcb,00000000,000000006fe1,00000000
7,1,i8_i8,64,case_07_i8_i8_n64.hex,int,4,7,00000000191a,00000000,ffffffffced8,00000000,00000000106a,00000000,ffffffff73af,00000000
8,2,fp8_fp8,1,case_08_fp8_fp8_n1.hex,fp,7,7,000000000000,40000000,000000000000,c2900000,000000000000,c33d0000,000000000000,c08e0000
9,2,fp8_fp8,4,case_09_fp8_fp8_n4.hex,fp,7,7,000000000000,43c10800,000000000000,c5cc30dc,000000000000,c61e7780,000000000000,c57635c0
10,2,fp8_fp8,17,case_10_fp8_fp8_n17.hex,fp,7,7,000000000000,c5be0210,000000000000,47594e10,000000000000,46531400,000000000000,c5445320
11,2,fp8_fp8,64,case_11_fp8_fp8_n64.hex,fp,7,7,000000000000,487802ee,000000000000,c6b123c4,000000000000,c81b5361,000000000000,c80d9212
12,3,bf16_bf16,1,case_12_bf16_bf16_n1.hex,fp,7,7,000000000000,00000000,000000000000,00000000,000000000000,40000000,000000000000,407f0000
13,3,bf16_bf16,4,case_13_bf16_bf16_n4.hex,fp,7,7,000000000000,dac54000,000000000000,6c5d0000,000000000000,e4310000,000000000000,407f00fe
14,3,bf16_bf16,17,case_14_bf16_bf16_n17.hex,fp,7,7,000000000000,e4160000,000000000000,ee270000,000000000000,df420004,000000000000,edf1ffff
15,3,bf16_bf16,64,case_15_bf16_bf16_n64.hex,fp,7,7,000000000000,5fbd3150,000000000000,ef064e0a,000000000000,6e990015,000000000000,ed9bfc60
16,4,i4_fp8,1,case_16_i4_fp8_n1.hex,fp,7,7,000000000000,41b00000,000000000000,c30c0000,000000000000,c4120000,000000000000,44560000
17,4,i4_fp8,4,case_17_i4_fp8_n4.hex,fp,7,7,000000000000,43bc8000,000000000000,c5403d80,000000000000,c51d9400,000000000000,44e00000
18,4,i4_fp8,17,case_18_i4_fp8_n17.hex,fp,7,7,000000000000,c4c3b600,000000000000,c51f5458,000000000000,44cbc600,000000000000,44dc0fc0
19,4,i4_fp8,64,case_19_i4_fp8_n64.hex,fp,7,7,000000000000,4654e032,000000000000,c4e83980,000000000000,c62812a0,000000000000,c5bff4b0
20,5,i4_bf16,1,case_20_i4_bf16_n1.hex,fp,7,7,000000000000,41600000,000000000000,41000000,000000000000,52ff0000,000000000000,c9930000
21,5,i4_bf16,4,case_21_i4_bf16_n4.hex,fp,7,7,000000000000,cf18ffec,000000000000,5a640002,000000000000,da507080,000000000000,d7c3ff38
22,5,i4_bf16,17,case_22_i4_bf16_n17.hex,fp,7,7,000000000000,d94cefb1,000000000000,db135486,000000000000,db4488f0,000000000000,dad997bd
23,5,i4_bf16,64,case_23_i4_bf16_n64.hex,fp,7,7,000000000000,5c1a1089,000000000000,5c382d7f,000000000000,5bcad8b6,000000000000,dbbb9aee
24,6,i8_bf16,1,case_24_i8_bf16_n1.hex,fp,7,7,000000000000,00000000,000000000000,437e0000,000000000000,43000000,000000000000,00000000
25,6,i8_bf16,4,case_25_i8_bf16_n4.hex,fp,7,7,000000000000,52ca0000,000000000000,4380719a,000000000000,55524180,000000000000,ce8f06e0
26,6,i8_bf16,17,case_26_i8_bf16_n17.hex,fp,7,7,000000000000,5a41fb6e,000000000000,db5ac2a1,000000000000,59bbf270,000000000000,5b8a911b
27,6,i8_bf16,64,case_27_i8_bf16_n64.hex,fp,7,7,000000000000,5d265d5f,000000000000,dd3e9688,000000000000,5da23973,000000000000,5d9a3fa3
