pair,float_tile_ratio,hybrid_overhead_fraction_over_float,separate_area_um2,hybrid_area_um2,hybrid_minus_separate_um2,winner
W4A8 + FP8 E4M3,0.0625,0.0,223.88524007031248,678.314008,454.42876792968747,separate
W4A8 + FP8 E4M3,0.0625,0.05,223.88524007031248,712.2297083999999,488.34446832968746,separate
W4A8 + FP8 E4M3,0.0625,0.1,223.88524007031248,746.1454088,522.2601687296876,separate
W4A8 + FP8 E4M3,0.0625,0.2,223.88524007031248,813.9768095999999,590.0915695296874,separate
W4A8 + FP8 E4M3,0.0625,0.3,223.88524007031248,881.8082104,657.9229703296876,separate
W4A8 + FP8 E4M3,0.0625,0.5,223.88524007031248,1017.471012,793.5857719296876,separate
W4A8 + FP8 E4M3,0.125,0.0,266.2798655703125,678.314008,412.03414242968745,separate
W4A8 + FP8 E4M3,0.125,0.05,266.2798655703125,712.2297083999999,445.94984282968744,separate
W4A8 + FP8 E4M3,0.125,0.1,266.2798655703125,746.1454088,479.86554322968755,separate
W4A8 + FP8 E4M3,0.125,0.2,266.2798655703125,813.9768095999999,547.6969440296874,separate
W4A8 + FP8 E4M3,0.125,0.3,266.2798655703125,881.8082104,615.5283448296875,separate
W4A8 + FP8 E4M3,0.125,0.5,266.2798655703125,1017.471012,751.1911464296875,separate
W4A8 + FP8 E4M3,0.25,0.0,351.0691165703125,678.314008,327.24489142968747,separate
W4A8 + FP8 E4M3,0.25,0.05,351.0691165703125,712.2297083999999,361.16059182968746,separate
W4A8 + FP8 E4M3,0.25,0.1,351.0691165703125,746.1454088,395.07629222968757,separate
W4A8 + FP8 E4M3,0.25,0.2,351.0691165703125,813.9768095999999,462.90769302968744,separate
W4A8 + FP8 E4M3,0.25,0.3,351.0691165703125,881.8082104,530.7390938296876,separate
W4A8 + FP8 E4M3,0.25,0.5,351.0691165703125,1017.471012,666.4018954296876,separate
W4A8 + FP8 E4M3,0.5,0.0,520.6476185703125,678.314008,157.66638942968746,separate
W4A8 + FP8 E4M3,0.5,0.05,520.6476185703125,712.2297083999999,191.58208982968745,separate
W4A8 + FP8 E4M3,0.5,0.1,520.6476185703125,746.1454088,225.49779022968755,separate
W4A8 + FP8 E4M3,0.5,0.2,520.6476185703125,813.9768095999999,293.3291910296874,separate
W4A8 + FP8 E4M3,0.5,0.3,520.6476185703125,881.8082104,361.1605918296875,separate
W4A8 + FP8 E4M3,0.5,0.5,520.6476185703125,1017.471012,496.8233934296875,separate
W4A8 + FP8 E4M3,0.75,0.0,690.2261205703124,678.314008,-11.912112570312502,hybrid
W4A8 + FP8 E4M3,0.75,0.05,690.2261205703124,712.2297083999999,22.00358782968749,separate
W4A8 + FP8 E4M3,0.75,0.1,690.2261205703124,746.1454088,55.919288229687595,separate
W4A8 + FP8 E4M3,0.75,0.2,690.2261205703124,813.9768095999999,123.75068902968746,separate
W4A8 + FP8 E4M3,0.75,0.3,690.2261205703124,881.8082104,191.58208982968756,separate
W4A8 + FP8 E4M3,0.75,0.5,690.2261205703124,1017.471012,327.2448914296875,separate
