group_id,architecture_class,rtl_topology,supported_modes,int_w_bits,int_a_bits,fp_sig_width,fp_exp_width,throughput_contract,accumulator_contract,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_list,rtl_bundle_sha256,library_set_id,target_libraries,compile_mode,keep_hierarchy,max_cores,mapped_cell_area_um2,leaf_cell_count,blackbox_count,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,rtl_bundle_sha256_reported,library_setup_sha256,tool_version,status,report_dir,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,net_interconnect_area_um2,total_cell_area_report_um2
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_INT_W4A8_L4__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,378.924007,544,0,0.00193834,1.99806166,500.485055101,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W4A8_L4__T2p0ns/reports,308.035008,70.888999,12.831,,378.924007
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_INT_W4A8_L4__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,401.128007,659,0,0.000808775,0.999191225,1000.80942965,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W4A8_L4__T1p0ns/reports,330.239008,70.888999,17.563,,401.128007
MIXREF_INT_W4A8_L4,reference,existing_packed_dot,W4A8,4,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W4A8_L4__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_INT_W4A8_L4__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,405.132007,664,0,5.40614e-05,0.8999459386,1111.17785759,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W4A8_L4__T0p9ns/reports,334.243008,70.888999,17.472,,405.132007
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_INT_W8A8_L4__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,590.954014,805,0,0.00375009,1.99624991,500.939283699,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W8A8_L4__T2p0ns/reports,520.065015,70.888999,13.559,,590.954014
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_INT_W8A8_L4__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,619.710013,924,0,0.000952423,0.999047577,1000.95333097,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W8A8_L4__T1p0ns/reports,548.821014,70.888999,19.838,,619.710013
MIXREF_INT_W8A8_L4,reference,existing_packed_dot,W8A8,8,8,,,4 INT MAC/cycle,INT32,Repeat existing anchor,MIXREF_INT_W8A8_L4__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_INT_W8A8_L4__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,639.002014,956,0,0.000213981,0.899786019,1111.37534801,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_INT_W8A8_L4__T0p9ns/reports,568.113015,70.888999,23.842,,639.002014
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_FP8_E4M3__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,254.345002,629,0,0.000127912,1.999872088,500.031980045,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_FP8_E4M3__T2p0ns/reports,228.410002,25.935,25.753,,254.345002
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T1p0ns,1.0,1000.0,evidence/baseline/MIXREF_FP8_E4M3__T1p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,678.314008,1223,0,6.02007e-06,0.99999397993,1000.00602011,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_FP8_E4M3__T1p0ns/reports,652.379009,25.935,67.339999,,678.314008
MIXREF_FP8_E4M3,reference,existing_fp_mac,FP8xFP8,,,3,4,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,MIXREF_FP8_E4M3__T0p9ns,0.9,1111.111111111111,evidence/baseline/MIXREF_FP8_E4M3__T0p9ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,850.12201,1348,0,-0.0541843,0.9541843,1048.0155668,0,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_FP8_E4M3__T0p9ns/reports,824.187011,25.935,89.179999,,850.12201
MIXREF_BF16,reference,existing_fp_mac,BF16xBF16,,,7,8,1 FP MAC/cycle,same-format BF16,Repeat existing anchor,MIXREF_BF16__T2p0ns,2.0,500.0,evidence/baseline/MIXREF_BF16__T2p0ns,<GENERATED_RTL_LIST>,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,1,857.493009,1791,0,0.000110745,1.999889255,500.027687783,1,55f4162ff29cc2ddcf7250f7c11ce5cca349e808f290e2e83df8d920a6b76250,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,X-2025.06-SP3,ok,evidence/baseline/MIXREF_BF16__T2p0ns/reports,817.726009,39.766999,85.175999,,857.493009
