group_id,base_group,architecture_class,rtl_topology,supported_modes,throughput_contract,accumulator_contract,notes,run_count,valid_area_count,timing_met_count,best_feasible_area_um2,fastest_period_met_ns,area_1ghz_um2,wns_1ghz_ns,timing_met_1ghz,area_1ghz_vs_best_ratio,library_set_id,compile_mode,status
ARRAY4_DUAL_W4A8_FP8,,array,generated_4x4_dual,4x4 W4A8/FP8 dual,16 INT or 16 FP,dual,Array-level dual-domain,3,3,1,7304.570077,2.0,12663.0141,-0.0629534,0,1.7335741825343296,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
ARRAY4_SEP_W4A8_FP8,,array,generated_4x4_separate,4x4 W4A8 + 4x4 FP8,16 INT + 16 FP simultaneous,dual,Full separate array,3,3,1,7647.549077,2.0,15074.96912,-0.0193101,0,1.9712157409146889,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
CONV_I4_BF16,,convert_fp,hybrid_convert_fp_mac_dw,I4xBF16/BF16xBF16,1 FP MAC/cycle,BF16,INT4 conversion exact,3,3,1,857.22001,2.0,1536.62602,-0.251325,0,1.7925690045429528,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
CONV_I4_FP8,,convert_fp,hybrid_convert_fp_mac_dw,I4xFP8/FP8xFP8,1 FP MAC/cycle,FP8,INT4 conversion exact,3,3,1,316.316002,2.0,900.99101,-0.079993,0,2.8483889664235194,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
CONV_I8_BF16,,convert_fp,hybrid_convert_fp_mac_dw,I8xBF16/BF16xBF16,1 FP MAC/cycle,BF16,INT8 conversion exact,3,3,1,957.22901,2.0,1676.493022,-0.345726,0,1.7514022292324802,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
CONV_I8_FP8,,convert_fp,hybrid_convert_fp_mac_dw,I8xFP8/FP8xFP8,1 FP MAC/cycle,FP8,INT8 conversion lossy,3,3,1,559.195005,2.0,1018.563012,-0.273701,0,1.821480883936007,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
DUAL_W4A8_BF16,,dual_domain,dual_domain_int_fp_reference,W4A8/BF16,4 INT or 1 FP,dual,Measures mux/control only,3,3,1,1224.769016,2.0,1824.914023,-0.198165,0,1.4900066862893273,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
DUAL_W4A8_FP8,,dual_domain,dual_domain_int_fp_reference,W4A8/FP8,4 INT or 1 FP,dual,Measures mux/control only,3,3,2,620.71101,1.0,1020.838012,0.000116765,1,1.644626880389958,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
DUAL_W8A8_BF16,,dual_domain,dual_domain_int_fp_reference,W8A8/BF16,4 INT or 1 FP,dual,Measures mux/control only,3,3,1,1451.450023,2.0,1997.996029,-0.21266,0,1.3765517223048056,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
DUAL_W8A8_FP8,,dual_domain,dual_domain_int_fp_reference,W8A8/FP8,4 INT or 1 FP,dual,Measures mux/control only,3,3,2,830.011016,1.0,1277.82202,0.000240207,1,1.5395241693996986,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
MIXREF_BF16,,reference,existing_fp_mac,BF16xBF16,1 FP MAC/cycle,same-format BF16,Repeat existing anchor,3,3,1,857.493009,2.0,1373.918017,-0.193165,0,1.6022498172926793,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
MIXREF_FP8_E4M3,,reference,existing_fp_mac,FP8xFP8,1 FP MAC/cycle,same-format FP8,Repeat existing anchor,3,3,2,254.345002,1.0,678.314008,6.02007e-06,1,2.6669051983179917,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
MIXREF_INT_W4A8_L4,,reference,existing_packed_dot,W4A8,4 INT MAC/cycle,INT32,Repeat existing anchor,3,3,3,378.924007,0.9,401.128007,0.000808775,1,1.0585975013190443,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
