group_id,base_group,architecture_class,rtl_topology,supported_modes,throughput_contract,accumulator_contract,notes,run_count,valid_area_count,timing_met_count,best_feasible_area_um2,fastest_period_met_ns,area_1ghz_um2,wns_1ghz_ns,timing_met_1ghz,area_1ghz_vs_best_ratio,library_set_id,compile_mode,status
PIPE2_CONV_I4_BF16,CONV_I4_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline2,I4xBF16/BF16xBF16,1 FP MAC/cycle,BF16,Conversion plus registered multiply and add,3,3,3,572.936003,0.9,749.931003,0.000199854,1,1.3089263007966354,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE2_CONV_I8_BF16,CONV_I8_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline2,I8xBF16/BF16xBF16,1 FP MAC/cycle,BF16,Conversion plus registered multiply and add,3,3,3,607.243004,0.9,780.871003,0.000123322,1,1.285928364520112,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_ARRAY4_DUAL_W4A8_FP8,ARRAY4_DUAL_W4A8_FP8,pipeline_followup,generated_4x4_dual_pipeline,4x4 W4A8/FP8 dual,16 INT or 16 FP,dual,Pipelined FP arithmetic per cell,3,3,3,6907.810053,0.9,7833.098036,1.71661e-05,1,1.1339480929412868,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_ARRAY4_SEP_W4A8_FP8,ARRAY4_SEP_W4A8_FP8,pipeline_followup,generated_4x4_sep_pipeline,4x4 W4A8 + 4x4 FP8,16 INT + 16 FP simultaneous,dual,Pipelined separate FP arithmetic per cell,3,3,3,6891.339053,0.9,7821.996036,9.23872e-06,1,1.1350473363511056,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_CONV_I4_BF16,CONV_I4_BF16,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xBF16/BF16xBF16,1 FP MAC/cycle,BF16,Register after conversion,3,3,1,880.425008,2.0,1482.663015,-0.156852,0,1.6840310094871818,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_CONV_I4_FP8,CONV_I4_FP8,pipeline_followup,hybrid_convert_fp_mac_dw_pipeline,I4xFP8/FP8xFP8,1 FP MAC/cycle,FP8,Register after conversion,3,3,2,333.424002,1.0,713.258006,2.80142e-05,1,2.1391921449014344,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_MIXREF_BF16,MIXREF_BF16,pipeline_followup,pipelined_fp_mac_dw,BF16xBF16,1 FP MAC/cycle,same-format BF16,Two arithmetic stages,3,3,3,444.990004,0.9,628.901004,0.000584006,1,1.4132924298227605,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_MIXREF_FP8,MIXREF_FP8_E4M3,pipeline_followup,pipelined_fp_mac_dw,FP8xFP8,1 FP MAC/cycle,same-format FP8,Two arithmetic stages,3,3,3,211.848001,0.9,245.7,0.000653625,1,1.1597938089583388,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_MIXREF_INT_W4A8_L1,MIXREF_INT_W4A8_L4,pipeline_followup,int_l1_reference,W4A8,1 INT MAC/cycle,INT40,One-lane throughput-matched INT cell,3,3,3,219.492002,0.9,242.788002,3.20673e-05,1,1.106135985765896,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
PIPE_SHARED_NATIVE_ALL_DUALACC,SHARED_NATIVE_ALL_DUALACC,pipeline_followup,hybrid_shared_mul_dual_acc_pipeline,I4/I8/FP8/BF16 pairs,1 common product/cycle,INT40 + FP32,Register shared product before accumulator,3,3,2,1179.45101,1.0,2027.389016,0.000180244,1,1.718926007787301,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,ultra,complete
