pipeline_group,base_group,throughput_contract,pipeline_latency_note,base_area_1ghz_um2,pipeline_area_1ghz_um2,pipeline_area_overhead_pct,base_wns_1ghz_ns,pipeline_wns_1ghz_ns,base_timing_met_1ghz,pipeline_timing_met_1ghz,pipeline_closes_1ghz,pipeline_best_feasible_area_um2
PIPE2_CONV_I4_BF16,CONV_I4_BF16,1 FP MAC/cycle,Conversion plus registered multiply and add,1536.62602,749.931003,-51.196257694503956,-0.251325,0.000199854,0,1,true,572.936003
PIPE2_CONV_I8_BF16,CONV_I8_BF16,1 FP MAC/cycle,Conversion plus registered multiply and add,1676.493022,780.871003,-53.42235292644124,-0.345726,0.000123322,0,1,true,607.243004
PIPE_ARRAY4_DUAL_W4A8_FP8,ARRAY4_DUAL_W4A8_FP8,16 INT or 16 FP,Pipelined FP arithmetic per cell,12663.0141,7833.098036,-38.141914917397116,-0.0629534,1.71661e-05,0,1,true,6907.810053
PIPE_ARRAY4_SEP_W4A8_FP8,ARRAY4_SEP_W4A8_FP8,16 INT + 16 FP simultaneous,Pipelined separate FP arithmetic per cell,15074.96912,7821.996036,-48.11268949385416,-0.0193101,9.23872e-06,0,1,true,6891.339053
PIPE_CONV_I4_BF16,CONV_I4_BF16,1 FP MAC/cycle,Register after conversion,1536.62602,1482.663015,-3.511785190257277,-0.251325,-0.156852,0,0,false,880.425008
PIPE_CONV_I4_FP8,CONV_I4_FP8,1 FP MAC/cycle,Register after conversion,900.99101,713.258006,-20.836279376416854,-0.079993,2.80142e-05,0,1,true,333.424002
PIPE_MIXREF_BF16,MIXREF_BF16,1 FP MAC/cycle,Two arithmetic stages,1373.918017,628.901004,-54.22572553686804,-0.193165,0.000584006,0,1,true,444.990004
PIPE_MIXREF_FP8,MIXREF_FP8_E4M3,1 FP MAC/cycle,Two arithmetic stages,678.314008,245.7,-63.777837829939074,6.02007e-06,0.000653625,1,1,true,211.848001
PIPE_MIXREF_INT_W4A8_L1,MIXREF_INT_W4A8_L4,1 INT MAC/cycle,One-lane throughput-matched INT cell,401.128007,242.788002,-39.4736847681643,0.000808775,3.20673e-05,1,1,true,219.492002
PIPE_SHARED_NATIVE_ALL_DUALACC,SHARED_NATIVE_ALL_DUALACC,1 common product/cycle,Register shared product before accumulator,2415.413022,2027.389016,-16.064499216730642,-0.667057,0.000180244,0,1,true,1179.45101
