group_id,tier,category,template,format,w_bits,a_bits,k_bits,v_bits,run_count,valid_area_count,timing_met_count,min_area_among_timing_met_um2,fastest_period_met_ns,max_achieved_fmax_mhz,library_set_id,status
ARRAY_BF16_16X16,L2,array_scaling,array_fp,BF16_E8M7,,,,,3,3,1,202251.688279,2.0,671.719339539,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_BF16_4X4,L2,array_scaling,array_fp,BF16_E8M7,,,,,3,3,1,12701.143124,2.0,772.982708377,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_BF16_8X8,L2,array_scaling,array_fp,BF16_E8M7,,,,,3,3,1,50186.500518,2.0,699.095859325,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A4_16X16,L2,array_scaling,array_int,signed_integer,4,4,,,3,3,3,32103.435268,0.9,1111.11199414,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A4_4X4,L2,array_scaling,array_int,signed_integer,4,4,,,3,3,3,1981.707014,0.9,1111.31071239,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A4_8X8,L2,array_scaling,array_int,signed_integer,4,4,,,3,3,3,7994.077061,0.9,1111.17550262,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A8_16X16,L1,array_scaling,array_int,signed_integer,4,8,,,3,3,3,42495.635306,0.9,1111.12943438,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A8_4X4,L1,array_scaling,array_int,signed_integer,4,8,,,3,3,3,2611.42701,0.9,1111.55707398,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W4A8_8X8,L1,array_scaling,array_int,signed_integer,4,8,,,3,3,3,10546.900059,0.9,1111.12023585,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W8A8_16X16,L2,array_scaling,array_int,signed_integer,8,8,,,3,3,3,61198.046642,0.9,1111.11184697,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W8A8_4X4,L2,array_scaling,array_int,signed_integer,8,8,,,3,3,3,3780.140031,0.9,1111.16784882,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ARRAY_W8A8_8X8,L2,array_scaling,array_int,signed_integer,8,8,,,3,3,3,15220.29614,0.9,1111.21848346,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
ASYM_ZP_SCALE_I4_L16,L2,quant_kv_logic,kv_dequant,fixed_point,,,4,4,3,3,3,966.511022,0.9,1111.13855932,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_BF16_E8M7,L1,scalar_fp_mac,fp_mac_dw,BF16_E8M7,,,,,3,3,1,857.493009,2.0,858.883691688,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_FP16_E5M10,L1,scalar_fp_mac,fp_mac_dw,FP16_E5M10,,,,,3,3,1,1389.024018,2.0,645.316999069,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_FP4_E2M1,L1,scalar_fp_mac,fp4_dw_surrogate,FP4_E2M1,,,,,3,3,3,137.774001,0.9,1111.12501906,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_FP6_E3M2,L1,scalar_fp_mac,fp_mac_dw,FP6_E3M2,,,,,3,3,2,180.726001,1.0,1094.99473527,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_FP8_E4M3,L1,scalar_fp_mac,fp_mac_dw,FP8_E4M3,,,,,3,3,2,254.345002,1.0,1048.0155668,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
FP_MAC_FP8_E5M2,L1,scalar_fp_mac,fp_mac_dw,FP8_E5M2,,,,,3,3,2,219.492001,1.0,1008.82377806,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W16_A16_N64,L2,scalar_int_mac,int_mac,signed_integer,16,16,,,3,3,3,584.94801,0.9,1111.52084116,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W16_A4_N64,L2,scalar_int_mac,int_mac,signed_integer,16,4,,,3,3,3,223.132,0.9,1112.57902315,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W16_A8_N64,L2,scalar_int_mac,int_mac,signed_integer,16,8,,,3,3,3,343.798002,0.9,1113.09750782,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W2_A16_N64,L2,scalar_int_mac,int_mac,signed_integer,2,16,,,3,3,3,162.89,0.9,1112.45619426,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W2_A4_N64,L2,scalar_int_mac,int_mac,signed_integer,2,4,,,3,3,3,71.708,0.9,1552.98312529,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W2_A8_N64,L2,scalar_int_mac,int_mac,signed_integer,2,8,,,3,3,3,102.375,0.9,1204.58706755,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W3_A16_N64,L2,scalar_int_mac,int_mac,signed_integer,3,16,,,3,3,3,204.204001,0.9,1111.28237207,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W3_A4_N64,L2,scalar_int_mac,int_mac,signed_integer,3,4,,,3,3,3,84.994,0.9,1439.91176221,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W3_A8_N64,L2,scalar_int_mac,int_mac,signed_integer,3,8,,,3,3,3,124.397,0.9,1153.83545868,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A16_N64,L1,scalar_int_mac,int_mac,signed_integer,4,16,,,3,3,3,223.132,0.9,1112.3274189,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A4_N16,L2,accumulator_anchor,int_mac,signed_integer,4,4,,,3,3,3,88.27,0.9,1574.44858874,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A4_N256,L1,accumulator_anchor,int_mac,signed_integer,4,4,,,3,3,3,104.923,0.9,1272.33099945,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A4_N64,L1,scalar_int_mac,int_mac,signed_integer,4,4,,,3,3,3,97.097,0.9,1352.30710353,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A6_N64,L1,scalar_int_mac,int_mac,signed_integer,4,6,,,3,3,3,116.025,0.9,1197.29722125,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A8_N16,L2,accumulator_anchor,int_mac,signed_integer,4,8,,,3,3,3,128.674,0.9,1153.85316572,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A8_N256,L1,accumulator_anchor,int_mac,signed_integer,4,8,,,3,3,3,143.598,0.9,1124.87989095,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W4_A8_N64,L1,scalar_int_mac,int_mac,signed_integer,4,8,,,3,3,3,136.136,0.9,1129.3660586,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W5_A5_N64,L1,scalar_int_mac,int_mac,signed_integer,5,5,,,3,3,3,123.123,0.9,1204.238921,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W6_A16_N64,L2,scalar_int_mac,int_mac,signed_integer,6,16,,,3,3,3,284.102001,0.9,1111.82255401,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W6_A4_N64,L2,scalar_int_mac,int_mac,signed_integer,6,4,,,3,3,3,116.025,0.9,1197.29722125,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W6_A8_N64,L2,scalar_int_mac,int_mac,signed_integer,6,8,,,3,3,3,173.810001,0.9,1112.22359299,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W8_A16_N64,L2,scalar_int_mac,int_mac,signed_integer,8,16,,,3,3,3,343.798002,0.9,1114.86190295,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W8_A4_N64,L2,scalar_int_mac,int_mac,signed_integer,8,4,,,3,3,3,136.136,0.9,1129.3660586,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W8_A8_N16,L2,accumulator_anchor,int_mac,signed_integer,8,8,,,3,3,3,202.748002,0.9,1111.78623095,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W8_A8_N256,L1,accumulator_anchor,int_mac,signed_integer,8,8,,,3,3,3,217.763002,0.9,1111.81820649,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
INT_MAC_W8_A8_N64,L1,scalar_int_mac,int_mac,signed_integer,8,8,,,3,3,3,210.210002,0.9,1111.81820649,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
KV_DEQ_I2_TO_I8_L16,L2,quant_kv_logic,kv_dequant,fixed_point,,,2,2,3,3,3,157.157,0.9,1607.76098382,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
