group_id,tier,category,template,scheme_ids,w_bits,a_bits,k_bits,v_bits,format,sig_width,exp_width,ieee_compliance,acc_terms,acc_width,lanes,rows,cols,in_bits,out_bits,asymmetric,with_requant,mapping_scope,notes,run_id,clock_period_ns,clock_mhz,run_dir,rtl_bundle_sha256,library_set_id,target_libraries,compile_mode,keep_hierarchy,operating_condition_requested,max_cores,library_setup_sha256,mapped_cell_area_um2,leaf_cell_count,blackbox_count,wns_ns,critical_delay_ns,achieved_fmax_mhz,timing_met,tool_version,status,report_dir,combinational_area_um2,noncombinational_area_um2,buf_inv_area_um2,net_interconnect_area_um2,total_cell_area_report_um2,total_area_report_um2
INT_MAC_W2_A4_N64,L2,scalar_int_mac,int_mac,,2,4,,,signed_integer,,,,64,13,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A4_N64__T2p0ns,2.0,500.0,build/INT_MAC_W2_A4_N64__T2p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,72.072,121.0,0.0,1.30148,0.69852,1431.59823627,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A4_N64__T2p0ns/reports,35.763,36.308999,2.548,,72.072,
INT_MAC_W2_A4_N64,L2,scalar_int_mac,int_mac,,2,4,,,signed_integer,,,,64,13,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A4_N64__T1p0ns,1.0,1000.0,build/INT_MAC_W2_A4_N64__T1p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,71.708,121.0,0.0,0.351078,0.648922,1541.01725631,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A4_N64__T1p0ns/reports,35.399,36.308999,2.548,,71.708,
INT_MAC_W2_A4_N64,L2,scalar_int_mac,int_mac,,2,4,,,signed_integer,,,,64,13,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A4_N64__T0p9ns,0.9,1111.111111111111,build/INT_MAC_W2_A4_N64__T0p9ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,71.708,121.0,0.0,0.256078,0.643922,1552.98312529,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A4_N64__T0p9ns/reports,35.399,36.308999,2.548,,71.708,
INT_MAC_W2_A8_N64,L2,scalar_int_mac,int_mac,,2,8,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A8_N64__T2p0ns,2.0,500.0,build/INT_MAC_W2_A8_N64__T2p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,102.375,173.0,0.0,1.16984,0.83016,1204.58706755,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A8_N64__T2p0ns/reports,52.234001,50.140999,3.731,,102.375,
INT_MAC_W2_A8_N64,L2,scalar_int_mac,int_mac,,2,8,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A8_N64__T1p0ns,1.0,1000.0,build/INT_MAC_W2_A8_N64__T1p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,105.469,132.0,0.0,0.0957671,0.9042329,1105.9097717,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A8_N64__T1p0ns/reports,55.328001,50.140999,2.821,,105.469,
INT_MAC_W2_A8_N64,L2,scalar_int_mac,int_mac,,2,8,,,signed_integer,,,,64,17,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A8_N64__T0p9ns,0.9,1111.111111111111,build/INT_MAC_W2_A8_N64__T0p9ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,107.471,153.0,0.0,0.0647855,0.8352145,1197.29722125,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A8_N64__T0p9ns/reports,57.330001,50.140999,3.185,,107.471,
INT_MAC_W2_A16_N64,L2,scalar_int_mac,int_mac,,2,16,,,signed_integer,,,,64,25,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A16_N64__T2p0ns,2.0,500.0,build/INT_MAC_W2_A16_N64__T2p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,162.89,280.0,0.0,0.790581,1.209419,826.843302445,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A16_N64__T2p0ns/reports,85.085001,77.804999,5.733,,162.89,
INT_MAC_W2_A16_N64,L2,scalar_int_mac,int_mac,,2,16,,,signed_integer,,,,64,25,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A16_N64__T1p0ns,1.0,1000.0,build/INT_MAC_W2_A16_N64__T1p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,175.175,296.0,0.0,0.00256115,0.99743885,1002.56772633,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A16_N64__T1p0ns/reports,97.370001,77.804999,6.734,,175.175,
INT_MAC_W2_A16_N64,L2,scalar_int_mac,int_mac,,2,16,,,signed_integer,,,,64,25,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W2_A16_N64__T0p9ns,0.9,1111.111111111111,build/INT_MAC_W2_A16_N64__T0p9ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,177.359,310.0,0.0,0.0010882,0.8989118,1112.45619426,1,X-2025.06-SP3,ok,build/INT_MAC_W2_A16_N64__T0p9ns/reports,99.554001,77.804999,7.371,,177.359,
INT_MAC_W3_A4_N64,L2,scalar_int_mac,int_mac,,3,4,,,signed_integer,,,,64,14,,,,,,,,arithmetic_kernel,"One signed product per cycle plus registered accumulator. N controls accumulator guard width, not unrolled multiplier count.",INT_MAC_W3_A4_N64__T2p0ns,2.0,500.0,build/INT_MAC_W3_A4_N64__T2p0ns,207158581ab077db004b0627bf1709ee71ee9c88921cc57910bdbf0c9d5ddf6b,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,<CLN22UL_DB>/sc6p5mcpp140z_cln22ul_base_svt_c35_tt_typical_max_0p80v_25c.db,ultra,0,,1,d287a2bc825e981bb60b4cbb580a97ef0014ca2d296287928162262b5ce1bbc5,85.358,147.0,0.0,1.25367,0.74633,1339.88986105,1,X-2025.06-SP3,ok,build/INT_MAC_W3_A4_N64__T2p0ns/reports,45.591001,39.766999,4.459,,85.358,
